Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C2, C3, C4, C9",0603,6,100n,
"C10, C11",0603,2,8p,
"C13, C17",0603,2,0.1u,
"C14, C15",0805,2,22u,
"C16, C5",0805,2,10u,
"C18, C20, C7",0603,3,1u,
C19,0603,1,75p,
C21,C_Radial_D8.0mm_H11.5mm_P3.50mm,1,1m,
C6,0603,1,10n,
C8,0805,1,1u,
"CAN, I2C",JST_SM04B-GHS-TB_LF__SN_-,2,Conn_01x04_Socket,
"CANH, CANL, SCL, SDA",Test_point,4,Conn_01x01_Pin,
"D1, D5, D7, D8, D9",D_SOD-323,5,PESD5V0S1UL,
"D2, D3",0603,2,LED,
D4,SOT-23,1,NUP2105L,
D6,DIOM5436X244N,1,SMBJ28A,
"FB1, R2",0603,2,120R,
GPIO,PinHeader_1x02_P2.00mm_Vertical,1,Conn_01x02_Pin,
J2,USB_Mini-B_Lumberg_2486_01_Horizontal,1,USB_B_Mini,
"J5, J9",ODrive_PAD,2,Conn_01x01_Socket,
J8,AMASS_XT30PW-M,1,XT30PW-M,
L1,L_6.3x6.3_H3,1,10u,
"R1, R10, R11, R12",0603,4,10k,
R13,0603,1,330R,
R14,0603,1,150R,
R15,0603,1,470R,
R16,1206,1,500m,
R3,0603,1,511k,
R4,0603,1,105k,
R5,0603,1,49.9R,
R6,0603,1,13k3,
R7,0603,1,100k,
"R8, R9",0603,2,2k2,
SWD,PinHeader_1x06_P2.00mm_Vertical,1,Conn_01x06_Socket,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F446RETx,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
U3,SOT-23-6,1,TPS54302,
U4,SOT-23-5,1,ME6211C33M5,
U5,SOT-23-6,1,USBLC6-2SC6,
UART,PinHeader_1x03_P2.00mm_Vertical,1,Conn_01x03_Pin,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,
